ID,Temperature1,Temperature2,Speed,Time,Num,Y1,Y2,Y3,T1,T2,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,K1,L1,M1,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,L2,M2
32,160,160,0,20,2605,8.9,10.29,9,1,PbSe,5,5,46.875,5.015,5.605,13.864,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
33,160,160,0,40,1909,9.98,14.63,9,1,PbSe,5,5,46.875,5.015,5.605,13.864,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
34,160,160,0,60,2597,10.58,12.53,9,1,PbSe,5,5,46.875,5.015,5.605,13.864,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
35,160,160,0,2,5774,6.88,7.52,9,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
36,160,160,0,5,3835,7.09,7.56,9,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
37,160,160,0,10,868,7.46,5.84,9,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
38,160,160,0,20,959,7.86,5.84,9,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
39,160,160,0,40,2255,8.75,6.86,9,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
40,160,160,0,60,1907,9.34,7.46,9,1,PbSe,5,5,46.875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
41,160,160,0,5,604,10.68,6.99,9,1,PbSe,5,5,120.1875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
42,160,160,0,10,1528,11.09,4.54,9,1,PbSe,5,5,120.1875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
43,160,160,0,20,6,12.47,2.24,9,1,PbSe,5,5,120.1875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
44,160,160,0,40,2372,11.76,5.77,9,1,PbSe,5,5,120.1875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
45,160,160,0,60,6359,12.78,5.94,9,1,PbSe,5,5,120.1875,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
46,160,160,0,10,18042,10.23,11.55,9,1,PbSe,5,5,31.25,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
47,160,160,0,20,9208,10.88,21.13,9,1,PbSe,5,5,31.25,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
48,160,160,0,40,14441,12.19,26.4,9,1,PbSe,5,5,31.25,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
49,160,160,0,60,5974,13.95,24.67,9,1,PbSe,5,5,31.25,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
50,160,160,0,90,7699,14.26,20.35,9,1,PbSe,5,5,31.25,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
51,160,160,0,10,3530,14.54,16.79,9,1,PbSe,5,5,15.625,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
52,160,160,0,20,5106,15.88,15.98,6,1,PbSe,5,5,15.625,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
