ID,Temperature1,Temperature2,Speed,Time,T1,T2,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,I1,I2,J1,J2,Y1,Y2,Y3,Num,scaleplate
1636,170,170,0,0.05,1,CsPbI3,0.125,Cs2CO3,1.08,PbI2,84.375,ODE,7.6,OLA,8.274,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,10.38,10.8,cube,200,
1637,175,175,0,0.05,1,CsPbI3,0.125,Cs2CO3,1.08,PbI2,84.375,ODE,7.6,OLA,8.274,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,15.68,15.8,cube,200,
1638,180,180,0,0.05,1,CsPbI3,0.125,Cs2CO3,1.08,PbI2,84.375,ODE,7.6,OLA,8.274,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,17.26,11.1,cube,200,
1639,165,165,0,0.017,1,CsPbI3-2,0.049,Cs2CO3,0.5,PbAc2,0.6,BI,15.625,ODE,3.04,OLA,0.95,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,11.4,15.84,cube,,
1640,180,180,0,0.5,1,CsYbI3,0.041,Cs2CO3,0.188,YbI2,21.25,ODE,1.82,OLA,2.04,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,10.72,14.74,cube,,
1641,140,140,0,0.17,1,Cs2AgBiCl6,0.71,CsAc,0.5,AgAc,0.5,BiAc3,2.7,TMSCl,31.25,ODE,1.87,OLA,8.85,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,9.25,9.76,cube,300,
1642,140,140,0,0.17,1,Cs2AgBiBr6,0.71,CsAc,0.5,AgAc,0.5,BiAc3,2.7,TMSBr,31.25,ODE,1.87,OLA,8.85,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,9.03,15,cube,300,
1643,200,200,0,0.33,1,CsPbCl3,0.049,Cs2CO3,0.5,PbAc2,1.8,BC,15.625,ODE,3.04,OLA,0.95,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,9.7,11.63,cube,,
1644,200,200,0,1,1,CsPbCl3,0.028,Cs2CO3,0.24,PbCl2,16.875,ODE,4.86,OLA,5.16,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,11.74,13.46,cube,,
1645,200,200,0,1,1,CsPbCl3,0.028,Cs2CO3,0.22,PbCl2,0.311,MnCl2,16.875,ODE,4.86,OLA,5.16,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,9.82,14.94,cube,,
1646,200,200,0,0.017,1,CsPbCl3,0.027,Cs2CO3,0.308,PbCl2,0.206,PbBr2,16.875,ODE,4.86,OLA,5.16,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,12.41,21.81,cube,,
1647,200,200,0,0.017,1,CsPbCl3,0.027,Cs2CO3,0.206,PbBr2,0.312,MnCl2,16.875,ODE,4.86,OLA,5.16,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,11.96,12.26,cube,,
1648,240,240,0,0.5,1,CsPbCl3-2,0.05,Cs2CO3,0.378,PbCl2,33.75,ODE,3.04,OLA,3.31,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,8.8,6.41,cube,,
1649,240,240,0,0.5,1,CsPbCl3-2,0.05,Cs2CO3,0.376,PbCl2,0.188,CeCl3,33.75,ODE,0.16,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,8.58,6.58,cube,,
1650,240,240,0,0.5,1,CsPbCl3-2,0.05,Cs2CO3,0.376,PbCl2,0.188,SmCl3,33.75,ODE,0.16,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,8.24,6.85,cube,,
1651,240,240,0,0.5,1,CsPbCl3-2,0.05,Cs2CO3,0.376,PbCl2,0.188,EuCl3,33.75,ODE,0.16,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,8.01,7.04,cube,,
1652,240,240,0,0.5,1,CsPbCl3-2,0.05,Cs2CO3,0.376,PbCl2,0.188,TbCl3,33.75,ODE,0.16,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.67,7.35,cube,,
1653,240,240,0,0.5,1,CsPbCl3-2,0.05,Cs2CO3,0.376,PbCl2,0.188,DyCl3,33.75,ODE,0.16,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.56,7.46,cube,,
1654,240,240,0,0.5,1,CsPbCl3-2,0.05,Cs2CO3,0.376,PbCl2,0.188,ErCl3,33.75,ODE,0.16,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.22,7.8,cube,,
1655,240,240,0,0.5,1,CsPbCl3-2,0.05,Cs2CO3,0.376,PbCl2,0.188,YbCl3,33.75,ODE,0.16,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.11,7.94,cube,,
1656,165,165,0,0.75,1,Tl3PbCl5,0.13,TlAc,0.38,PbCl2,34.6875,ODE,3.04,OLA,3.52,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,20.5,13.17,sphere,,
1657,180,180,0,0.75,1,Tl3PbBr5,0.13,TlAc,0.38,PbBr2,34.6875,ODE,3.04,OLA,3.52,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,28,8.93,hexagon,,
1658,160,160,0,0.75,1,Tl3PbBr5,0.13,TlAc,0.38,PbBr2,34.6875,ODE,3.04,OLA,3.52,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,20.9,14.35,hexagon,,
1659,130,130,0,0.75,1,Tl3PbBr5,0.13,TlAc,0.38,PbBr2,34.6875,ODE,3.04,OLA,3.52,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,16.5,15.15,hexagon,,
1660,130,130,0,0.75,1,Tl3PbBr5,0.13,TlAc,0.2432,PbBr2,0.1368,PbCl2,34.6875,ODE,1.52,OLA,1.95,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,19.2,8.85,hexagon,,
1661,130,130,0,0.75,1,Tl3PbBr5,0.13,TlAc,0.2166,PbBr2,0.1634,PbI2,34.6875,ODE,1.52,OLA,1.95,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,15.2,14.47,hexagon,,
1662,130,130,0,0.75,1,Tl3PbI5,0.13,TlAc,0.38,PbI2,34.6875,ODE,3.04,OLA,3.52,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,17.2,17.44,sphere,,
1663,170,170,0,0.5,1,TlPbI3,0.105,TlAc,0.38,PbI2,34.0625,ODE,1.52,OLA,1.882,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,479.26,30,rod,,
1664,170,170,0,1,1,CsSnBr3,0.8,Cs2CO3,5,SnBr2,75,ODE,2.43,OLA,11.21,TOP,2.52,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,12.07,59.81,cube,300,
1665,170,170,0,1,1,CsSnBr3,0.8,Cs2CO3,2.5,SnBr2,2.5,SnCl2,75,ODE,2.43,OLA,11.21,TOP,2.52,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,8.58,46.05,cube,300,
1666,170,170,0,1,1,CsSnI3,0.8,Cs2CO3,5,SnI2,75,ODE,2.43,OLA,11.21,TOP,2.52,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,11.17,39.39,cube,300,
1667,170,170,0,1,1,CsSnI3,0.8,Cs2CO3,2.5,SnI2,2.5,SnBr2,75,ODE,2.43,OLA,11.21,TOP,2.52,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,11.4,32.67,cube,300,
1668,100,100,0,0.017,1,Cs2SnI6,0.0125,Cs2CO3,0.187,SnI4,31.875,ODE,0.039,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,17.4,20.11,Irregular shape,50,
1669,120,120,0,0.017,1,Cs2SnI6,0.0125,Cs2CO3,0.187,SnI4,31.875,ODE,0.039,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,18.4,15.76,Irregular shape,50,
1670,150,150,0,0.017,1,Cs2SnI6,0.0125,Cs2CO3,0.187,SnI4,31.875,ODE,0.039,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,26.6,19.17,Irregular shape,50,
1671,220,220,0,0.017,1,Cs2SnI6,0.0125,Cs2CO3,0.187,SnI4,31.875,ODE,0.039,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,40.3,19.6,Irregular shape,50,
1672,180,180,0,1,1,Cs3Sb2I9,0.016,Cs2CO3,0.1,SbI3,32.1875,ODE,1.22,OLA,0.059,OA,6.31,OCTA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,21.94,27.27,rectangle,,
1673,230,230,0,1,1,Cs3Sb2I9,0.016,Cs2CO3,0.1,SbI3,32.1875,ODE,1.22,OLA,0.059,OA,6.31,OCTA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,195.86,8.7,rod,,
1674,180,180,0,1,1,Rb3Sb2I9,0.016,Rb2CO3,0.1,SbI3,32.1875,ODE,1.22,OLA,0.059,OA,6.31,OCTA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.5,26.67,sphere,,
1675,230,230,0,1,1,Rb3Sb2I9,0.016,Rb2CO3,0.1,SbI3,32.1875,ODE,1.22,OLA,0.059,OA,6.31,OCTA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,17,17.65,sphere,,
1676,105,105,0,0.083,1,Cs2AgInCl6,0.25,Cs2CO3,0.24,AgAc,0.25,InAc3,1.72,BC,28.289,DPE,1.52,OLA,3.15,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,16.53,21.3,cube,250,
1677,105,105,0,0.083,1,Cs2AgBiCl6,0.25,Cs2CO3,0.24,AgAc,0.25,BiAc3,1.72,BC,28.289,DPE,1.52,OLA,3.15,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,9.03,13.63,cube,185,
1678,200,200,0,0.083,1,Cs2AgBiBr6,0.05,Cs2CO3,0.1,AgNO3,0.1,BiBr3,1.84,HBr,15,ODE,3.04,OLA,3.31,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,10.72,27.37,cube,200,
1679,25,300,3,60,1,CoFe2O4,1.095,CoOA2,2.19,FeOA3,62.5,ODE,1.416,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,10.62,13.74,cube,,
1680,25,305,1,60,1,CoFe2O4,1.667,CoOA2,3.333,FeOA3,78.125,ODE,2.5,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,13,4.61,sphere,,
1681,25,310,3,60,1,CoFe2O4,1.667,CoOA2,3.333,FeOA3,78.125,ODE,2.5,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,19.8,9.59,sphere,,
1682,140,260,,30,1,CoFe2O4,2,Co(acac)2,4,Fe(acac)3,377.1811292,DPE,30.394,OLA,31.509,OA,20,HDD,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,5.2,21.15,sphere,400,
1683,25,290,15,60,1,CoFe2O4,0.48,Co(acac)2,1,Fe(acac)3,1,NaOA,52.45637042,DBE,6.302,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,22.57,5,cube,,
1684,25,290,15,60,1,CoFe2O4,0.46,Co(acac)2,0.8,Fe(acac)3,1,NaOA,52.45637042,DBE,6.302,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,16.93,4,cube,,
1685,25,290,15,60,1,CoFe2O4,0.42,Co(acac)2,0.8,Fe(acac)3,1,NaOA,52.45637042,DBE,6.302,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,11.28,7,cube,,
1686,25,290,15,60,1,CoFe2O4,0.48,Co(acac)2,1,Fe(acac)3,52.45637042,DBE,6.302,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,33.38,10.17,hexagon,62,0.423728814
1687,25,290,15,60,1,CoFe2O4,0.48,Co(acac)2,1,Fe(acac)3,1,NaOA,52.45637042,DBE,4.726,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,55.26,29.66,cube,31,0.431034483
1688,25,290,15,60,1,CoFe2O4,0.413,Co(acac)2,1,Fe(acac)3,1,NaOA,52.45637042,DBE,6.302,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,13.94,8.5,hexagon,369,0.392156863
1689,25,290,15,60,1,CoFe2O4,0.551,Co(acac)2,1,Fe(acac)3,1,NaOA,52.45637042,DBE,6.302,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,26.12,11.93,cube,225,0.543478261
1690,25,300,3,60,1,NiFe2O4,1.095,NiOA2,2.19,FeOA3,62.5,ODE,1.416,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,11.21,10.2,sphere,,
1691,25,300,3,60,1,MnFe2O4,1.098,MnOA2,2.196,FeOA3,62.5,ODE,1.416,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,6.92,7.27,sphere,,
1692,25,305,1,60,1,MnFe2O4,1.667,MnOA2,3.333,FeOA3,31.25,ODE,2.5,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,11,3.63,sphere,,
1693,25,315,1,60,1,MnFe2O4,1.667,MnOA2,3.333,FeOA3,31.25,ODE,2.5,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,16,3.125,sphere,,
