ID,Temperature1,Temperature2,Speed,Time,T1,T2,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,H1,I1,J1,K1,L1,M1,G2,H2,I2,J2,K2,L2,M2,Y1,Shape,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,60,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,10.872431,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,62,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,10.908897,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,64,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,10.964243,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,66,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,11.015464,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,68,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,11.06368,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,70,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,11.107207,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,72,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,11.142068,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,74,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,11.175964,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,76,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,11.213981,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,78,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,11.249115,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,80,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,11.281391,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,0,PlaceHolder,6.7,TOP,7,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,8.9778,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,2,OLA,6.7,TOP,7,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,13.117975,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,4,OLA,6.7,TOP,7,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,13.876794,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,6,OLA,6.7,TOP,7,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,12.527098,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,8,OLA,6.7,TOP,7,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,14.607374,1,
