x,y,shape,cluster
-39.15461730957031,6.56402587890625,9,5
-17.16606330871582,10.937102317810059,9,5
-29.663549423217773,34.880516052246094,9,5
-4.266929626464844,39.46883773803711,10,6
0.7207112908363342,41.376495361328125,0,6
13.779179573059082,18.933828353881836,10,2
-21.476041793823242,7.763455867767334,9,5
-27.781747817993164,-36.291927337646484,9,0
-27.82667350769043,-35.88007736206055,9,0
-28.608617782592773,-36.309104919433594,9,0
-60.611454010009766,-14.738813400268555,9,5
-60.58694076538086,-14.368570327758789,9,5
-35.40825653076172,29.323972702026367,9,5
-12.939406394958496,49.90274429321289,9,6
-55.476070404052734,15.563136100769043,9,5
-11.416893005371094,47.72467803955078,9,5
-36.88100051879883,0.6795008778572083,9,5
-15.537790298461914,21.701759338378906,9,5
-42.29349899291992,23.68688201904297,9,5
-21.052474975585938,25.195362091064453,9,5
16.18345832824707,25.68532943725586,0,6
-10.355697631835938,-1.3717098236083984,9,5
32.22023010253906,-22.85698699951172,10,1
21.324970245361328,23.154621124267578,10,2
14.03279972076416,36.946659088134766,0,6
-24.204782485961914,20.760541915893555,9,5
41.37590026855469,-34.8502197265625,1,1
35.12223815917969,-30.585994720458984,1,1
46.10851287841797,-23.806888580322266,1,1
33.737709045410156,-30.189918518066406,1,1
44.50234603881836,-24.69634437561035,1,1
-65.08647918701172,-4.997549533843994,9,5
-65.3990249633789,-5.059158802032471,9,5
-51.96467971801758,15.866965293884277,9,5
-55.670387268066406,13.23655891418457,9,5
-26.951398849487305,22.978845596313477,9,5
-11.16250991821289,-4.494791507720947,9,5
-12.38536548614502,-5.3982625007629395,9,5
-12.709636688232422,-5.768239498138428,9,5
-2.8845884799957275,46.81864929199219,0,6
-2.908195972442627,46.83755874633789,0,6
46.503639221191406,6.412013053894043,0,3
1.848591685295105,33.78102493286133,9,6
-11.221112251281738,22.245891571044922,9,5
1.254835605621338,53.729454040527344,0,6
9.074309349060059,52.514747619628906,0,6
-10.447822570800781,-37.17862319946289,10,0
-22.488344192504883,3.483915090560913,9,5
-18.71376609802246,8.171038627624512,9,5
-12.210196495056152,-21.680438995361328,9,0
36.21410369873047,-17.299524307250977,1,1
33.21208190917969,-16.817588806152344,1,1
-15.337555885314941,12.338953018188477,9,5
-25.232576370239258,-18.822471618652344,9,5
-26.2145938873291,-18.385982513427734,9,5
-5.055228233337402,43.229278564453125,0,6
-34.263065338134766,17.582605361938477,9,5
-29.089139938354492,30.880817413330078,9,6
18.936355590820312,0.008341586217284203,9,5
29.317598342895508,-29.950286865234375,5,1
21.56196403503418,-58.68756103515625,1,6
-25.527210235595703,4.130774974822998,9,5
28.836400985717773,-30.664939880371094,1,1
-25.26435089111328,-35.835025787353516,9,0
1.6991643905639648,-22.215816497802734,9,1
-17.473779678344727,-36.33891677856445,9,0
-20.406156539916992,-8.131532669067383,9,5
-19.607101440429688,-33.12425994873047,9,0
-20.47389030456543,-7.554474830627441,9,5
-17.723140716552734,-32.48926544189453,9,0
-18.55130386352539,-28.060302734375,9,0
-5.988846778869629,-24.828598022460938,9,5
47.61494064331055,-22.46735191345215,1,1
-37.67143630981445,9.30417251586914,9,5
-38.637088775634766,8.765204429626465,9,5
-4.209379196166992,-25.209609985351562,9,5
47.882198333740234,-22.288921356201172,1,1
48.175132751464844,-22.221315383911133,1,1
48.98576736450195,-22.383535385131836,1,1
-39.87918472290039,6.913966178894043,9,5
2.7512083053588867,-39.305816650390625,6,0
-17.52505874633789,-35.39685821533203,9,0
-17.424022674560547,-35.16115951538086,9,0
-17.520238876342773,-34.65858459472656,9,0
-22.202173233032227,-31.51541519165039,9,0
-25.850236892700195,-28.7847843170166,9,5
-18.43587303161621,-35.499351501464844,9,0
-18.41759490966797,-35.228572845458984,9,0
-18.535444259643555,-33.98599624633789,9,0
-21.826936721801758,-31.438724517822266,9,0
-25.679664611816406,-29.040828704833984,9,5
-15.343618392944336,-32.511802673339844,9,0
-15.243871688842773,-32.24359893798828,9,0
-15.51015567779541,-31.384733200073242,9,0
-15.725894927978516,-31.02500343322754,9,0
-19.022844314575195,-35.70429611206055,9,0
-8.238686561584473,-31.70330047607422,9,0
-20.060110092163086,1.7321224212646484,9,5
-11.212201118469238,-36.72793960571289,9,0
-11.117337226867676,-36.747135162353516,6,0
0.5672640800476074,-22.581192016601562,9,0
-19.73804473876953,-34.944339752197266,9,0
-19.453968048095703,-34.692378997802734,9,0
-19.080717086791992,-34.21247100830078,9,0
-18.818601608276367,-33.298667907714844,9,0
-21.53995132446289,-31.388778686523438,9,0
-19.797718048095703,-34.1821174621582,9,0
-19.05996322631836,-33.64753341674805,9,0
-18.17886734008789,-31.960817337036133,9,0
-22.058088302612305,-29.545330047607422,9,5
-18.74813461303711,-31.02351188659668,9,0
-15.532381057739258,-26.75446319580078,9,0
-15.606917381286621,-26.402042388916016,9,0
-15.275321006774902,-26.930171966552734,9,0
-15.10279655456543,-26.990123748779297,9,0
24.416820526123047,-32.149288177490234,1,1
24.52255630493164,-32.061790466308594,1,1
25.591758728027344,-31.07428741455078,1,1
-15.181105613708496,-15.751453399658203,9,5
-15.195243835449219,-15.73536491394043,9,5
-15.198081016540527,-15.667710304260254,9,5
-15.246798515319824,-15.081649780273438,9,5
-38.430381774902344,-17.480100631713867,9,5
-38.65205764770508,-17.31888771057129,9,5
-38.949947357177734,-16.612550735473633,9,5
-8.001760482788086,1.919378399848938,9,5
0.8162602782249451,-3.6762053966522217,9,5
0.4209471642971039,-3.716341733932495,9,5
38.55368423461914,-39.42675018310547,1,1
43.70708084106445,-37.33727264404297,1,1
43.93122100830078,-37.41194152832031,1,1
44.22373580932617,-37.4604377746582,1,1
48.07414245605469,-10.50926685333252,1,1
57.52696228027344,-19.627819061279297,1,1
48.07768630981445,-10.560938835144043,1,1
56.86664962768555,-19.1787166595459,1,1
48.148277282714844,-10.655107498168945,1,1
3.680209159851074,-37.833274841308594,6,0
4.631592750549316,-36.57693099975586,6,0
4.400735855102539,-37.29356002807617,6,0
