true,pred
13.65,3.5132778
7.25,7.7312956
8.7,9.7156105
5.5,4.7295165
5.9,4.8114147
19.0,19.368473
8.7,3.8637176
10.02,7.2228465
8.02,7.215329
13.58,14.171691
9.8,12.262389
10.4,9.854416
