x,y,shape label
-34.26306534,17.582605361938477,9
-29.08913994,30.880817413330078,9
18.936355590820312,0.008341586217284203,9
29.317598342895508,-29.95028687,5
21.56196403503418,-58.68756104,1
-25.52721024,4.130774974822998,9
28.836400985717773,-30.66493988,1
-25.26435089,-35.83502579,9
1.6991643905639648,-22.2158165,9
-17.47377968,-36.33891678,9
-20.40615654,-8.131532669,9
-19.60710144,-33.12425995,9
-20.4738903,-7.554474831,9
-17.72314072,-32.48926544,9
-18.55130386,-28.06030273,9
-5.988846779,-24.82859802,9
47.61494064331055,-22.46735191,1
-37.67143631,9.30417251586914,9
-38.63708878,8.765204429626465,9
-4.209379196,-25.20960999,9
47.882198333740234,-22.28892136,1
48.175132751464844,-22.22131538,1
48.98576736450195,-22.38353539,1
-39.87918472,6.913966178894043,9
2.7512083053588867,-39.30581665,6
-17.52505875,-35.39685822,9
-17.42402267,-35.16115952,9
-17.52023888,-34.65858459,9
-22.20217323,-31.51541519,9
-25.85023689,-28.78478432,9
-18.43587303,-35.4993515,9
-18.41759491,-35.22857285,9
-18.53544426,-33.98599625,9
-21.82693672,-31.43872452,9
-25.67966461,-29.0408287,9
-15.34361839,-32.51180267,9
-15.24387169,-32.24359894,9
-15.51015568,-31.3847332,9
-15.72589493,-31.02500343,9
-19.02284431,-35.70429611,9
-8.238686562,-31.70330048,9
-20.06011009,1.7321224212646484,9
-11.21220112,-36.72793961,9
-11.11733723,-36.74713516,6
0.5672640800476074,-22.58119202,9
-19.73804474,-34.94433975,9
-19.45396805,-34.692379,9
-19.08071709,-34.21247101,9
-18.81860161,-33.29866791,9
-21.53995132,-31.38877869,9
-19.79771805,-34.18211746,9
-19.05996323,-33.64753342,9
-18.17886734,-31.96081734,9
-22.0580883,-29.54533005,9
-18.74813461,-31.02351189,9
-15.53238106,-26.7544632,9
-15.60691738,-26.40204239,9
-15.27532101,-26.93017197,9
-15.10279655,-26.99012375,9
24.416820526123047,-32.14928818,1
24.52255630493164,-32.06179047,1
25.591758728027344,-31.07428741,1
-15.18110561,-15.7514534,9
-15.19524384,-15.73536491,9
-15.19808102,-15.6677103,9
-15.24679852,-15.08164978,9
-38.43038177,-17.48010063,9
-38.65205765,-17.31888771,9
-38.94994736,-16.61255074,9
-8.001760483,1.919378399848938,9
0.8162602782249451,-3.676205397,9
0.4209471642971039,-3.716341734,9
38.55368423461914,-39.42675018,1
43.70708084106445,-37.33727264,1
43.93122100830078,-37.41194153,1
44.22373580932617,-37.46043777,1
48.07414245605469,-10.50926685,1
57.52696228027344,-19.62781906,1
48.07768630981445,-10.56093884,1
56.86664962768555,-19.17871666,1
48.148277282714844,-10.6551075,1
3.680209159851074,-37.83327484,6
4.631592750549316,-36.576931,6
4.400735855102539,-37.29356003,6
4.743017196655273,-37.0485878,6
5.046315670013428,-37.02316666,6
3.187232255935669,-38.18809891,6
4.062974452972412,-37.70518875,6
3.932406187057495,-38.34209061,6
4.803657531738281,-38.15571213,6
6.1319146156311035,-39.38513565,6
-30.48484993,-30.28961754,9
2.3250675201416016,-39.98888016,6
-3.83265686,-38.63082504,6
-3.935963392,-38.45838928,6
-20.47690201,-35.8889389,9
-16.79153061,-35.82187271,9
-16.19109535,-34.35804749,9
-10.46024799,-24.35987663,9
-14.47589588,-33.83794403,9
-14.42819881,-33.12301254,9
-13.59444523,-30.52866936,9
3.7009029388427734,-39.93577194,6
4.993015766143799,-39.17045212,6
5.62652063369751,-36.50948334,6
4.154163360595703,-35.23271561,6
-29.32674408,-34.93294525,9
-29.38632584,-34.79929733,9
-29.43925285,-34.64944839,9
-29.52700233,-34.35216904,9
-29.90040016,-32.32580948,9
-29.85664177,-31.43577957,9
-30.70763588,-34.85892868,9
-30.80707359,-34.77416992,9
-30.92737389,-34.62622452,9
-31.15135002,-34.04436874,9
-19.07067108,-36.67840958,9
0.8655878901481628,-41.8127594,6
0.832315981388092,-42.0647316,6
